trialID,TrialNumber,FrameNumber,MousePositionX,MousePositionY,TrackingAccuracy
0,0,746,958,541,5.477226
0,0,747,958,541,5.118068
0,0,748,958,541,5.477226
0,0,749,958,541,6.21811
0,0,750,958,541,7.22435
0,0,751,958,541,8.400943
0,0,752,958,541,9.686177
0,0,753,958,541,11.04207
0,0,754,958,541,12.44553
0,0,755,958,541,13.88229
0,0,756,958,541,15.34285
0,0,757,958,541,16.82112
0,0,758,958,541,18.31265
0,0,759,958,541,19.8146
0,0,760,958,541,21.32477
0,0,761,958,541,22.84137
0,0,762,958,541,24.36341
0,0,763,958,541,25.88979
0,0,764,958,541,27.41975
0,0,765,958,541,28.95291
0,0,766,958,541,30.48862
0,0,767,958,541,32.02662
0,0,768,958,541,33.56643
0,0,769,959,541,34.11889
0,0,770,960,541,34.67161
0,0,771,961,541,35.22441
0,0,772,963,541,34.78807
0,0,773,966,541,33.36309
0,0,774,971,541,29.96691
0,0,775,976,541,26.58249
0,0,776,982,541,22.24006
0,0,777,987,541,18.90698
0,0,778,991,541,16.56947
0,0,779,995,541,14.26651
0,0,780,1000,541,11.12092
0,0,781,1003,541,9.862331
0,0,782,1007,541,7.874612
0,0,783,1009,541,7.543794
0,0,784,1011,541,7.224825
0,0,785,1012,541,7.630978
0,0,786,1013,540,7.993043
0,0,787,1014,540,8.436387
0,0,788,1016,540,8.085236
0,0,789,1017,540,8.531453
0,0,790,1018,540,8.990227
0,0,791,1018,540,10.32221
0,0,792,1018,540,11.71033
0,0,793,1019,540,12.218
0,0,794,1021,539,11.85909
0,0,795,1024,539,10.57611
0,0,796,1026,539,10.19193
0,0,797,1029,539,8.973011
0,0,798,1032,539,7.830193
0,0,799,1034,538,7.698275
0,0,800,1036,538,7.389465
0,0,801,1038,538,7.09466
0,0,802,1040,538,6.815678
0,0,803,1042,538,6.554538
0,0,804,1045,538,5.853965
0,0,805,1048,538,5.452518
0,0,806,1051,537,5.860415
0,0,807,1052,537,5.831019
0,0,808,1053,537,5.855069
0,0,809,1053,537,6.194064
0,0,810,1055,537,6.059517
0,0,811,1056,537,6.23479
0,0,812,1058,537,6.092549
0,0,813,1060,537,5.979617
0,0,814,1062,537,5.897567
0,0,815,1064,537,5.847737
0,0,816,1066,537,5.830952
0,0,817,1067,537,5.857822
0,0,818,1069,536,6.404235
0,0,819,1071,536,6.411211
0,0,820,1072,536,6.407511
0,0,821,1073,536,6.452384
0,0,822,1074,536,6.544844
0,0,823,1076,536,6.467968
