trial_id,object_motion_type,object_direction,object_speed,camera_motion_type,camera_direction,camera_speed,ramp_location,duration,initial_ball_placement,initial_crosshair_placement
40,left_to_right,"(-1, 0)",15.0,vertical_up,"(0, 1)",30.0,"(-1, 0)",6.0,"(0.81, 0.5)","(0.77, 0.5)"
41,left_to_right,"(-1, 0)",15.0,vertical_down,"(0, -1)",30.0,"(-1, 0)",6.0,"(0.81, 0.5)","(0.77, 0.5)"
42,right_to_left,"(1, 0)",15.0,diagonal_with,"(-1, 1)",30.0,"(-1, 0)",6.0,"(0.19, 0.5)","(0.23, 0.5)"
43,right_to_left,"(1, 0)",15.0,diagonal_against,"(1, -1)",30.0,"(-1, 0)",6.0,"(0.19, 0.5)","(0.23, 0.5)"
44,right_to_left,"(1, 0)",15.0,horizontal_with,"(-1, 0)",30.0,"(-1, 0)",6.0,"(0.19, 0.5)","(0.23, 0.5)"
45,right_to_left,"(1, 0)",15.0,horizontal_against,"(1, 0)",30.0,"(-1, 0)",6.0,"(0.19, 0.5)","(0.23, 0.5)"
46,right_to_left,"(1, 0)",15.0,vertical_up,"(0, 1)",30.0,"(-1, 0)",6.0,"(0.19, 0.5)","(0.23, 0.5)"
47,right_to_left,"(1, 0)",15.0,vertical_down,"(0, -1)",30.0,"(-1, 0)",6.0,"(0.19, 0.5)","(0.23, 0.5)"
48,left_to_right,"(-1, 0)",30.0,diagonal_with,"(-1, 1)",30.0,"(-1, 0)",4.0,"(0.85, 0.5)","(0.77, 0.5)"
49,left_to_right,"(-1, 0)",30.0,diagonal_against,"(1, -1)",30.0,"(-1, 0)",4.0,"(0.85, 0.5)","(0.77, 0.5)"
50,left_to_right,"(-1, 0)",30.0,horizontal_with,"(-1, 0)",30.0,"(-1, 0)",4.0,"(0.85, 0.5)","(0.77, 0.5)"
51,left_to_right,"(-1, 0)",30.0,horizontal_against,"(1, 0)",30.0,"(-1, 0)",4.0,"(0.85, 0.5)","(0.77, 0.5)"
52,left_to_right,"(-1, 0)",30.0,vertical_up,"(0, 1)",30.0,"(-1, 0)",4.0,"(0.85, 0.5)","(0.77, 0.5)"
53,left_to_right,"(-1, 0)",30.0,vertical_down,"(0, -1)",30.0,"(-1, 0)",4.0,"(0.85, 0.5)","(0.77, 0.5)"
54,right_to_left,"(1, 0)",30.0,diagonal_with,"(-1, 1)",30.0,"(-1, 0)",4.0,"(0.15, 0.5)","(0.23, 0.5)"
55,right_to_left,"(1, 0)",30.0,diagonal_against,"(1, -1)",30.0,"(-1, 0)",4.0,"(0.15, 0.5)","(0.23, 0.5)"
